,,Внеоборотные активы,Внеоборотные активы,Внеоборотные активы,Выручка,Выручка,Выручка,Дебиторская задолженность,Дебиторская задолженность,Дебиторская задолженность,Долгосрочные обязательства,Долгосрочные обязательства,Долгосрочные обязательства,Заёмные средства (долгосрочные),Заёмные средства (долгосрочные),Заёмные средства (долгосрочные),Заёмные средства (краткосрочные),Заёмные средства (краткосрочные),Заёмные средства (краткосрочные),Капитал и резервы,Капитал и резервы,Капитал и резервы,Краткосрочные обязательства,Краткосрочные обязательства,Краткосрочные обязательства,Кредиторская задолженность,Кредиторская задолженность,Кредиторская задолженность,Нематериальные активы,Нематериальные активы,Нематериальные активы,Оборотные активы,Оборотные активы,Оборотные активы,Основные средства,Основные средства,Основные средства,Прибыль (убыток) до налогообложения,Прибыль (убыток) до налогообложения,Прибыль (убыток) до налогообложения,Прибыль (убыток) от продажи,Прибыль (убыток) от продажи,Прибыль (убыток) от продажи,Себестоимость продаж,Себестоимость продаж,Себестоимость продаж,Уставный капитал,Уставный капитал,Уставный капитал,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,Факт,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ,ПДЗ
2019,8,185503184.7133757,0.0,438275159.2356688,924388535.0318472,0.0,1031371974.522293,72462420.3821656,0.0,110446496.8152866,4659872.611464968,0.0,188318471.3375796,0.0,0.0,181376433.1210191,57324840.76433121,0.0,31847133.75796178,301803184.7133758,0.0,412044585.9872611,182687261.1464968,0.0,119785350.3184713,118577707.0063694,0.0,76364331.21019109,0.0,0.0,0.0,303647133.7579617,0.0,281873248.4076433,183940764.3312102,0.0,436887261.1464968,87852229.29936305,0.0,98444585.98726116,72650318.47133757,0.0,65754140.12738853,817626114.6496814,0.0,922115923.5668788,170700.6369426752,0.0,170700.6369426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.306122448979592,5.0,2922935.414012739,49.0,,,,,,
2019,9,7653503.184713376,21175796.17834395,31733121.01910828,418696815.2866242,379060509.5541401,339275159.2356688,83891719.74522293,84185350.31847133,123931210.1910828,5112738.853503184,46331210.1910828,1495541.401273885,4267515.923566879,44585987.26114649,0.0,0.0,0.0,33610828.02547771,96801910.82802548,106997452.2292994,107647133.7579618,68864968.15286624,54786624.20382165,148846496.8152866,67093630.5732484,54471337.57961784,114919108.2802548,15286.62420382166,13375.79617834395,11464.96815286624,163126114.6496815,186939490.4458599,226256050.955414,7561783.439490446,21100000.0,31663057.32484076,21464331.21019108,13606369.42675159,1393630.573248408,37409554.14012739,15840127.38853503,7669426.751592357,338498726.1146497,313912101.910828,289257324.8407643,87898.08917197451,87898.08917197451,87898.08917197451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,16.31506849315069,34.0,53973655.10828025,73.0,,,,,,
2019,10,202659293630.5732,190506982802.5478,186463100636.9426,194462620382.1656,229000263694.2675,275651303821.6561,17311860509.55414,21012832484.07643,24092142675.15924,121213183439.4904,75275508917.19745,95423433121.0191,114844026114.6497,69194505095.5414,88849105095.5414,45149244585.98726,57605502547.7707,13606219108.28025,92676177707.00636,116866968789.8089,112583657961.7834,71605289808.91719,83273394267.51591,40805775796.17834,24577015286.6242,23874052866.24204,25141844585.98726,40617197.4522293,67357324.84076433,112451592.3566879,82835357324.84076,84908889171.97452,62349766242.03822,55047177707.00637,57665553503.18471,63105257961.78344,67848528662.42038,93019263057.32484,88172105732.48407,43231555414.01273,44117101910.82803,64321452866.24204,134012985987.2611,166391112101.9108,189451666242.0382,5335668.789808917,5335668.789808917,5335668.789808917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,17.92857142857143,55.0,57508679.15923566,56.0,,,,,,
2019,11,115938853.5031847,116789171.9745223,116119745.2229299,579645222.9299363,768180891.7197452,676472611.4649681,54693630.57324841,58904458.59872611,43500636.94267516,42610828.02547771,30149681.52866242,17129936.30573248,41273885.35031847,28216560.50955414,15222929.93630573,131385350.3184713,151992993.6305732,188929299.3630573,86824203.82165605,86266242.03821656,66761783.43949044,168810191.0828025,187518471.3375796,226978980.8917197,35564968.15286624,33636305.73248407,36165605.0955414,0.0,0.0,0.0,182306369.4267516,187145222.9299363,194750955.4140128,100513375.7961783,101701910.8280255,96886624.20382166,7221019.108280255,507643.3121019108,-23676433.1210191,33307006.36942675,24549044.58598726,3742038.21656051,490153503.1847134,682882802.5477706,615086624.2038217,22292.99363057325,22292.99363057325,22292.99363057325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,4.7890625,74.0,56027486.80891721,256.0,,,,,,
2019,12,96049681.5286624,75084713.37579617,58635031.84713376,530453503.1847134,599661783.4394904,694632484.0764331,150803821.656051,165670700.6369427,218949681.5286624,41712738.85350318,52056050.95541401,26501910.82802548,41325477.70700637,51668789.8089172,26114649.68152866,44909554.14012738,37503184.71337579,66878980.89171974,177713375.7961783,180581528.6624204,182270700.6369427,144535668.7898089,244754777.0700637,250019108.2802548,99626114.64968152,207251592.3566879,183140127.3885351,0.0,0.0,0.0,267912101.910828,402307643.3121019,400156687.8980892,67622929.93630573,62559872.61146496,58159235.66878981,3811464.968152866,4598089.171974522,6168152.866242038,16585350.31847134,17387261.14649681,24694904.45859873,513868152.866242,582274522.2929937,669937579.6178343,720382.1656050956,720382.1656050956,720382.1656050956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,8.117647058823529,14.0,4074008.649681529,34.0,,,,,,
2019,13,5788577707.00637,5795498089.171974,5259647133.757961,995016560.509554,1714094267.515924,1705433121.019108,2062121656.050956,2698771974.522293,1877126114.649682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845685987.261146,1974340764.33121,2016145222.929936,8599043949.044586,7738454777.070064,6268584713.375796,7351321656.050955,7136992356.687898,5690907643.312101,0.0,0.0,0.0,4656152229.299363,3917297452.229299,3025082802.547771,168522292.9936306,160982165.6050955,213025477.7070064,108722929.9363057,161247770.7006369,54520382.16560509,37798089.17197452,87324203.82165605,29682802.5477707,778989171.9745222,1460926751.592357,1507584076.433121,170700.6369426752,170700.6369426752,170700.6369426752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,4.125,3.0,525143.3630573248,8.0,,,,,,
2019,14,149173885.3503185,213213375.7961784,188365605.0955414,764801910.8280255,735901273.8853503,924578343.9490446,114508280.2547771,66396815.2866242,202740127.3885351,0.0,31847133.75796178,86624203.82165605,0.0,31847133.75796178,86624203.82165605,0.0,5470700.636942675,43819108.28025477,7503821.656050955,15342675.15923567,28919108.28025478,573029299.3630573,552452229.299363,582197452.2292993,573029299.3630573,546189171.9745222,537719745.22293,13375.79617834395,62420.38216560509,106369.4267515924,431359872.611465,386428662.4203821,509375159.2356688,149160509.5541401,213150955.4140128,188259235.6687898,9884076.433121018,16464331.21019108,17281528.66242038,-432484.076433121,30698726.11464968,27756050.95541401,606207006.3694267,566869426.7515923,701822292.9936305,56687.89808917197,396815.2866242038,396815.2866242038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.5,0.0,0.0,2.0,,,,,,
2019,15,515383439.4904459,527526114.6496815,642540764.3312101,1124592356.687898,1155622929.936306,1166204458.598726,169044585.9872611,216674522.2929936,340383439.4904459,456298726.1146497,512550955.4140127,416980891.7197452,445859872.611465,501988535.0318471,407107006.3694267,0.0,0.0,227924203.821656,271628025.477707,303190445.8598726,324971337.5796178,308408917.1974522,260414649.6815286,603021656.0509554,295750318.4713376,255295541.4012739,371597452.2292994,4458.598726114649,3184.713375796178,2547.770700636942,520952229.299363,548629936.3057325,702433121.0191083,250407643.3121019,259369426.7515924,373128025.477707,39271974.52229299,41099363.05732484,42890445.85987261,114982165.6050955,123466242.0382166,129052229.299363,849312738.8535031,902661146.4968152,904256687.8980892,3143312.101910828,3143312.101910828,3143312.101910828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,16,49314012.7388535,51989808.91719745,49947770.70063694,170498726.1146497,298355414.0127388,399285987.2611465,67989171.9745223,10715923.56687898,18661146.49681529,8354140.127388535,5902547.770700636,6626751.592356687,0.0,0.0,0.0,0.0,0.0,0.0,85652866.24203822,92896178.34394903,111881528.6624204,109426751.5923567,95585987.26114649,74565605.0955414,106701273.8853503,90117834.39490443,66932484.07643312,0.0,0.0,0.0,154119745.2229299,142394267.5159236,143126114.6496815,44409554.14012738,47219745.22292993,47102547.77070063,9197452.229299365,27620382.16560509,30610828.02547771,10198726.11464968,22557961.78343949,28552866.24203822,160300000.0,240438853.5031847,331794904.4585987,20996815.2866242,20996815.2866242,20996815.2866242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,0.0,5.0,,,,,,
2019,17,99531210.1910828,92905732.48407644,105085350.3184713,870029936.3057325,1126967515.923567,1653594904.458599,144464968.1528662,227656050.955414,232242038.2165605,2729936.305732484,245892993.6305732,237826114.6496815,0.0,244904458.5987261,237668789.8089172,108392993.6305732,2287898.089171974,1836942.675159235,241333121.0191083,249252229.299363,257490445.8598726,303103184.7133758,443431847.133758,463372611.4649681,186961146.4968153,432296815.2866242,451511464.9681528,0.0,0.0,0.0,447635031.8471338,845670700.6369426,853603821.6560509,93471974.522293,88704458.59872611,100944585.9872612,8768152.866242038,10031210.1910828,10961783.43949044,36947133.75796178,32271337.57961783,36605095.54140128,761676433.1210191,1039514649.681529,1561664331.210191,7850318.471337579,7850318.471337579,7850318.471337579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,18,76944585.98726115,87787898.08917198,138063057.3248408,765759235.6687897,712593630.5732484,683632484.0764331,69178980.89171974,129153503.1847134,127187261.1464968,87820382.1656051,181601273.8853503,199743312.1019108,87574522.29299362,180912101.910828,198985350.3184713,266878.9808917197,316560.5095541401,313375.7961783439,118407006.3694267,123735668.7898089,129315923.566879,67588535.03184713,72205732.48407643,120820382.1656051,67321656.05095541,71889171.9745223,120328025.477707,438853.5031847134,403184.7133757962,406369.4267515923,196871337.5796178,289754777.0700637,311816560.5095541,57715923.56687898,68599363.05732484,82795541.40127388,41878980.89171974,8956050.955414012,9294904.458598724,45029936.30573248,12180254.77707006,16999363.05732484,614875159.2356688,614763057.3248408,590376433.1210191,16279617.8343949,16279617.8343949,16279617.8343949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,,,,,,
2019,19,267877707.0063694,267877707.0063694,212864968.1528662,1165898089.171974,1165898089.171974,1768051592.356688,252956687.8980892,252956687.8980892,295180254.77707,19434394.9044586,19434394.9044586,11632484.07643312,0.0,0.0,0.0,0.0,0.0,0.0,1256478343.949044,1256478343.949044,1573436942.675159,229256687.8980892,229256687.8980892,161466878.9808917,220947133.7579618,220947133.7579618,152475796.178344,0.0,0.0,0.0,1237291719.745223,1237291719.745223,1533670700.636943,250624840.7643312,250624840.7643312,195112101.910828,151808280.2547771,151808280.2547771,123406369.4267516,164647770.7006369,164647770.7006369,148417834.3949045,876206369.4267516,876206369.4267516,1436126751.592357,59261146.49681529,59261146.49681529,59261146.49681529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,20,88830573.24840765,81547770.70063694,80104458.59872611,396556050.955414,398401273.8853503,412656050.955414,81146496.81528662,61470700.63694267,66347770.70063694,240127.3885350318,464331.2101910828,410828.025477707,0.0,0.0,0.0,0.0,0.0,0.0,406159872.611465,405315923.566879,398322929.9363057,36652866.24203821,34786624.20382165,36363057.32484076,32321656.05095541,29148407.6433121,30474522.29299363,2547.770700636942,1273.885350318471,636.9426751592356,354222292.9936306,359019108.2802548,354992356.6878981,87252229.29936305,80040127.38853502,78512738.85350318,14237579.6178344,7713375.796178344,2056687.898089172,18617197.4522293,6758598.726114649,-8398726.114649681,310721019.1082802,323068789.8089172,352445222.9299363,10281528.66242038,10281528.66242038,10281528.66242038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.323529411764706,4.0,2379940.114649681,34.0,,,,,,
2019,21,22545859.87261146,25954777.07006369,33997452.22929936,480526751.5923567,537717197.4522293,1066617197.452229,52289808.91719745,92535668.78980891,290073885.3503184,1601273.885350318,1897452.229299363,2033757.96178344,0.0,0.0,0.0,13835668.78980892,51631210.1910828,62719745.22292993,84496178.34394903,105551592.3566879,284505095.5414013,57119745.22292993,72386624.20382166,238252866.2420382,43284076.43312102,20755414.01273885,175533121.0191083,108917.1974522293,92356.68789808916,756687.898089172,120671337.5796178,153880891.7197452,490794267.5159236,22368152.86624204,25818471.33757961,33210828.02547771,45539490.44585987,41580891.71974522,239212101.910828,52935668.78980891,40973885.35031847,244385987.2611465,234621656.0509554,299315286.6242038,478896815.2866242,4408280.25477707,4408280.25477707,4408280.25477707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,22,22926114.64968153,21525477.70700637,20354140.12738853,69877707.00636943,75361146.49681528,76477707.00636943,4706369.426751592,4028025.477707006,4205095.541401274,657961.7834394904,9008917.197452229,2603184.713375796,0.0,8331210.191082803,1910828.025477707,7303821.656050955,2329936.305732484,5833121.01910828,10875796.17834395,6984076.433121019,8089171.974522293,23810191.08280255,14267515.92356688,19592356.68789809,16506369.42675159,11936942.67515924,13759235.66878981,0.0,0.0,0.0,12417197.4522293,8735031.847133758,9931210.191082802,21390445.85987261,20007643.31210191,19044585.98726114,2420382.165605095,-3849044.585987261,1524203.821656051,2923566.878980892,-2157961.78343949,2353503.184713376,10514649.68152866,8706369.426751591,6092356.687898089,26114.64968152866,26114.64968152866,26114.64968152866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,23,2558116560.509554,2953694904.458599,2799251592.356688,11544752866.24204,8272190445.859872,8294041401.273885,4677716560.509554,6421311464.968153,6017112101.910828,1579526751.592357,1664096178.343949,1643989808.917198,902004458.598726,756531847.133758,539292356.687898,767987261.1464968,2167207643.312102,3133234394.904459,3788615286.624204,4805094267.515924,4317828662.420382,7413912101.910828,9395910191.082802,13134838853.50318,6539887898.089171,7123972611.464968,9870810828.025476,18441401.27388535,16336305.73248408,16615286.62420382,10223937579.61783,12911405732.48408,16297405732.48408,1848283439.490446,1718245859.872611,1557542038.21656,1920212738.853503,2171510828.025477,1194026751.592357,3123698089.171974,2351700000.0,1405012738.853503,6858380254.77707,4484455414.012738,5213312101.910828,170904458.5987261,170904458.5987261,170904458.5987261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
2019,24,529111464.9681528,549759235.6687897,536939490.4458599,3481974522.292993,3774565605.095541,3930540127.388535,472802547.7707006,489887898.089172,546484713.3757962,39746496.81528662,49418471.33757962,58749681.52866242,0.0,0.0,0.0,222597452.2292994,239466878.9808917,241873885.3503185,987701910.8280256,1054326114.649681,1054331847.133758,611640764.3312101,672387898.089172,905069426.7515924,373505095.5414013,411628662.4203821,643370700.6369426,57324.84076433121,122292.9936305732,118471.3375796178,1109977707.006369,1226373248.407643,1481211464.968153,515138216.5605096,536027388.5350319,523979617.8343949,94914649.68152866,100570700.6369427,21187898.08917197,164752229.299363,157731847.1337579,82966878.98089172,2871745859.872612,3094824203.821656,3344158598.726115,818471.3375796179,818471.3375796179,818471.3375796179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
